School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
ACE CHARTER HIGH,CALIFORNIA,0601561,060156113023,2,6,416,2,2,1,430,1,High
ACE EMPOWER ACADEMY,CALIFORNIA,0602217,060221712198,–,3,217,1,1,–,223,1,Middle
ACE ESPERANZA MIDDLE,CALIFORNIA,0601852,060185213740,1,4,234,3,1,1,244,–,Middle
ACE INSPIRE ACADEMY,CALIFORNIA,0602138,060213813852,–,7,225,1,2,–,239,4,Middle
ACHIEVE ACADEMY,CALIFORNIA,0602165,060216511561,1,17,536,23,21,1,607,8,Elementary
ACHIEVE CHARTER HIGH,CALIFORNIA,0691002,069100214213,0,0,0,0,0,0,0,0,High
ACHIEVE CHARTER SCHOOL OF PARADISE INC.,CALIFORNIA,0602133,060213311571,1,3,37,1,163,–,216,11,Elementary
ACORN WOODLAND ELEMENTARY,California,0628050,062805010730,–,4,251,15,4,–,276,2,Elementary
ADA CLEGG ELEMENTARY,California,0642150,064215012492,–,171,182,4,128,1,516,30,Elementary
ADA GIVENS ELEMENTARY,California,0624600,062460003686,1,32,386,29,127,1,604,28,Elementary
ADA S. NELSON ELEMENTARY,California,0622890,062289003501,–,6,354,5,5,–,370,–,Elementary
ADA W. HARRIS ELEMENTARY,California,0607470,060747000706,–,4,73,2,250,–,375,46,Elementary
ADALINE E. KENT MIDDLE,California,0619380,061938002329,–,27,80,6,347,–,530,70,Middle
ADAM (WILLIAM LAIRD) ELEMENTARY,California,0605580,060558009312,2,1,879,–,8,1,893,2,Elementary
ADAMS (J. DOUGLAS) MIDDLE,California,0605910,060591011574,3,220,269,120,363,5,1084,104,Middle
ADAMS ELEMENTARY,California,0627240,062724009593,2,11,252,4,48,2,326,7,Elementary
ADAMS ELEMENTARY,California,0635310,063531005981,1,11,387,–,1,3,404,1,Elementary
ADAMS ELEMENTARY,California,0634320,063432005407,2,4,210,23,28,–,291,24,Elementary
ADAMS ELEMENTARY,California,0638010,063801006398,3,71,239,109,23,–,482,37,Elementary
ADAMS ELEMENTARY,California,0601414,060141406015,–,6,408,2,110,1,545,18,Elementary
ADAMS ELEMENTARY,California,0633150,063315005129,3,12,415,20,47,4,503,2,Elementary
ADAMS MIDDLE,California,0600032,060003204949,1,137,334,44,385,4,1054,149,Middle
ADDAMS ELEMENTARY,California,0614550,061455001703,9,52,602,55,62,3,799,16,Elementary
ADDAMS ELEMENTARY,California,0622500,062250002695,4,46,636,124,11,11,856,24,Elementary
ADDISON ELEMENTARY,California,0629610,062961004579,–,73,60,4,136,9,319,37,Elementary
ADELANTE CHARTER,CALIFORNIA,0602343,060234308628,–,1,248,3,46,–,302,4,Elementary
ADELANTE DUAL LANGUAGE ACADEMY,California,0602310,060231011793,–,5,499,3,9,–,522,6,Elementary
ADELANTE DUAL LANGUAGE ACADEMY II,CALIFORNIA,0602310,060231014147,2,–,255,3,1,2,263,–,Elementary
ADELANTE HIGH,California,0632270,063227002047,0,0,5,0,0,0,5,0,High
ADELANTE HIGH,California,0600061,060006111814,0,0,48,1,7,0,56,0,High
ADELANTE HIGH (CONTINUATION),California,0633630,063363005189,2,4,52,7,54,1,126,6,High
ADELANTE SELBY SPANISH IMMERSION,California,0632130,063213004973,–,6,528,8,88,1,652,21,Elementary
ADELANTO ELEMENTARY,California,0601710,060171000038,1,1,118,88,19,–,254,27,Elementary
ADELANTO HIGH,California,0636972,063697212990,3,18,1344,388,78,16,1926,79,High
ADELANTO VIRTUAL ACADEMY,CALIFORNIA,0601710,060171014369,–,–,28,14,5,–,48,1,Elementary
ADELE HARRISON MIDDLE,California,0637200,063720010436,1,8,198,–,157,–,375,11,Middle
ADOBE BLUFFS ELEMENTARY,California,0631530,063153001203,–,205,52,4,147,–,475,67,Elementary
ADOLFO CAMARILLO HIGH,California,0629270,062927004516,6,214,901,29,836,8,2128,134,High
ADRIAN WILCOX HIGH,California,0635430,063543006055,10,763,730,33,350,14,1980,80,High
ADULT TRANSITION PROGRAM,California,0623340,062334012739,–,–,20,1,2,–,23,–,High
ADULT TRANSITION PROGRAM,CALIFORNIA,0605610,060561013847,–,–,6,–,5,–,12,1,High
ADVANCED LEARNING ACADEMY,CALIFORNIA,0635310,063531014192,3,3,342,–,5,–,354,1,Other
AEOLIAN ELEMENTARY,California,0622890,062289003499,1,3,339,7,4,–,355,1,Elementary
AEROSTEM ACADEMY,CALIFORNIA,0601724,060172414234,1,5,43,1,65,0,137,22,High
AFFLERBAUGH-PAIGE CAMP,California,0691078,069107812710,0,0,41,14,0,0,55,0,High
AGGELER COMMUNITY DAY,California,0622710,062271011315,1,1,43,11,1,0,59,2,High
AGNES J. JOHNSON CHARTER,CALIFORNIA,0602543,060254306363,1,0,14,0,61,1,97,20,Other
AGNES L. SMITH ELEMENTARY,California,0618030,061803002224,–,36,181,8,335,1,636,75,Elementary
AGNES M. BAPTIST ELEMENTARY,California,0637950,063795009643,4,98,295,33,132,23,612,27,Elementary
AGNES WARE STANLEY ELEMENTARY,California,0614880,061488001882,–,94,189,7,28,5,341,18,Elementary
AGOURA HIGH,California,0621000,062100002518,12,135,247,25,1403,1,1898,75,High
AGUA CALIENTE ELEMENTARY,California,0629550,062955004559,–,6,562,5,10,–,590,7,Elementary
AHWAHNEE HIGH,California,0600160,060016007902,4,1,5,0,12,0,23,1,High
AHWAHNEE MIDDLE,California,0614550,061455001704,5,49,452,85,83,6,709,29,Middle
AILEEN COLBURN ELEMENTARY,California,0603420,060342000256,2,5,338,12,35,3,395,–,Elementary
AKERS ELEMENTARY,California,0607980,060798000765,8,41,206,83,286,7,733,102,Elementary
AKIRA YOKOMI ELEMENTARY,California,0614550,061455010778,5,38,575,45,39,1,729,26,Elementary
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY,CALIFORNIA,0602092,060209212248,3,1,1087,286,2,–,1386,7,High
ALAMEDA COMMUNITY LEARNING CENTER,CALIFORNIA,0601664,060166408673,1,83,59,28,94,–,355,90,High
ALAMEDA COUNTY COMMUNITY,California,0691051,069105106830,1,1,59,36,4,2,105,2,Other
ALAMEDA COUNTY JUVENILE HALL/COURT,California,0691051,069105109264,1,0,16,31,1,1,50,0,Other
