School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
ELLIOTT (WILLIAM F) ELEMENTARY,California,0601620,060162000011,–,195,176,28,54,4,492,35,Elementary
ELLIOTT RANCH ELEMENTARY,California,0612330,061233010597,2,244,152,52,121,7,687,109,Elementary
ELLIS ELEMENTARY,California,0638460,063846006460,5,337,207,18,115,5,739,52,Elementary
ELLWOOD ELEMENTARY,California,0615510,061551001969,–,13,140,1,75,–,267,38,Elementary
ELM HIGH,California,0601415,060141512820,1,2,35,7,2,0,47,0,High
ELM STREET ELEMENTARY,California,0629220,062922006804,–,3,521,1,7,1,533,–,Elementary
ELMER WOOD ELEMENTARY,California,0603420,060342000258,3,6,382,7,113,–,527,16,Elementary
ELMHURST ELEMENTARY,California,0640980,064098006753,2,7,258,5,99,–,388,17,Elementary
ELMHURST UNITED MIDDLE,California,0628050,062805011961,4,24,481,161,6,24,726,26,Middle
ELMWOOD ELEMENTARY,California,0638010,063801006405,5,16,670,7,75,–,780,7,Elementary
ELSIE ALLEN HIGH,California,0635830,063583004108,9,60,883,10,88,10,1070,10,High
ELSINORE ELEMENTARY,California,0600027,060002709490,1,5,484,10,55,–,569,14,Elementary
ELSINORE HIGH,California,0600027,060002709489,7,68,1312,93,595,8,2198,115,High
ELSINORE MIDDLE,California,0600027,060002709493,1,26,724,33,130,3,960,43,Middle
ELVERTA ELEMENTARY,California,0612600,061260001424,3,6,46,3,66,–,132,8,Elementary
ELWIN ELEMENTARY,California,0603690,060369000329,–,25,257,–,3,–,285,–,Elementary
ELWOOD J. KEEMA HIGH,California,0601332,060133207240,7,18,192,55,84,4,383,23,High
ELYSIAN HEIGHTS ES ARTS MAGNET,California,0622710,062271002985,–,9,184,4,106,–,340,37,Elementary
EMBLEM ACADEMY,California,0635970,063597006154,1,65,153,39,217,2,520,43,Elementary
EMELITA STREET ELEMENTARY,California,0622710,062271002986,–,11,155,7,92,–,280,15,Elementary
EMERALD MIDDLE,California,0606810,060681000612,–,16,186,62,185,6,480,25,Middle
EMERSON (RALPH WALDO) ELEMENTARY,California,0614940,061494001900,1,261,165,1,1,1,442,12,Elementary
EMERSON COMMUNITY CHARTER,California,0622710,062271002987,–,38,197,95,158,1,518,29,Middle
EMERSON ELEMENTARY,California,0633150,063315005136,2,24,455,80,53,7,644,23,Elementary
EMERSON ELEMENTARY,California,0604740,060474000436,1,32,60,33,134,–,308,48,Elementary
EMERSON ELEMENTARY,California,0609620,060962000980,–,1,471,129,2,14,637,20,Elementary
EMERSON ELEMENTARY,California,0628050,062805004260,–,34,51,133,60,1,328,49,Elementary
EMERSON MIDDLE,California,0631320,063132004839,1,11,624,14,8,–,660,2,Middle
EMERSON MIDDLE,California,0603630,060363000297,8,12,555,122,43,2,757,15,Middle
EMERSON PARKSIDE ACADEMY,California,0622500,062250002712,–,29,110,23,191,2,384,29,Elementary
EMERY PARK ELEMENTARY,California,0600153,060015310935,–,71,329,5,16,–,436,15,Elementary
EMERY SECONDARY,California,0612630,061263001426,–,25,61,88,13,1,204,16,High
EMERYVILLE PRESCHOOL STUDENTS,California,0612630,061263013526,†,†,†,†,†,†,†,†,Not Reported
EMILIE J. ROSS MIDDLE,California,0600060,060006002208,2,4,244,1,167,1,426,7,Middle
EMILIE RITCHEN ELEMENTARY,California,0629220,062922001855,–,20,479,8,28,–,544,9,Elementary
EMMA C. SMITH ELEMENTARY,California,0622110,062211002624,2,146,147,4,312,2,666,53,Elementary
EMMA W. SHUEY ELEMENTARY,California,0633570,063357005182,–,306,134,5,8,–,460,7,Elementary
EMMA WILSON ELEMENTARY,California,0608370,060837001947,5,35,154,12,304,2,565,53,Elementary
EMMERTON ELEMENTARY,California,0634170,063417005359,1,6,309,105,14,1,455,19,Elementary
EMMETT S. FINLEY ELEMENTARY,California,0617430,061743002184,1,–,512,2,26,–,547,6,Elementary
EMORY ELEMENTARY,California,0637380,063738006318,–,55,309,20,18,3,435,30,Elementary
EMPEROR ELEMENTARY,California,0638980,063898006535,–,438,169,4,50,2,702,39,Elementary
EMPIRE ELEMENTARY,California,0612690,061269001430,–,3,303,4,59,–,375,6,Elementary
EMPIRE GARDENS ELEMENTARY,California,0634590,063459005711,–,18,218,5,16,–,263,6,Elementary
EMPIRE OAKS ELEMENTARY,California,0613890,061389010355,1,116,52,4,200,1,405,31,Elementary
EMPIRE SPRINGS CHARTER,CALIFORNIA,0601701,060170113671,4,60,697,113,630,4,1625,117,Other
EMPOWER,CALIFORNIA,0606810,060681014179,1,1,8,3,8,0,23,2,Elementary
EMPOWER GENERATIONS,CALIFORNIA,0601947,060194714042,0,2,33,32,11,0,85,7,High
EMPOWER LANGUAGE ACADEMY,CALIFORNIA,0602375,060237513803,–,4,115,4,13,–,139,3,Elementary
EMPOWERING POSSIBILITIES INTERNATIONAL CHARTER,CALIFORNIA,0602147,060214713935,–,4,8,4,356,–,372,–,Elementary
EMPRESA ELEMENTARY,California,0641190,064119009652,1,32,284,20,306,4,728,81,Elementary
ENADIA WAY TECHNOLOGY CHARTER,California,0622710,062271012217,–,25,138,11,49,–,235,12,Elementary
ENCANTO ELEMENTARY,California,0634320,063432005452,1,17,386,47,14,2,484,17,Elementary
ENCHANTED HILLS ELEMENTARY,California,0630180,063018010584,–,3,447,14,14,–,478,–,Elementary
ENCINA PREPARATORY HIGH,California,0634620,063462005778,11,192,362,273,196,15,1112,63,High
ENCINAL ELEMENTARY,California,0622050,062205002613,1,7,52,1,46,–,115,8,Elementary
ENCINAL ELEMENTARY,California,0624570,062457003682,–,104,134,9,306,10,623,60,Elementary
ENCINAL JUNIOR/SENIOR HIGH,California,0601770,060177000045,5,383,212,134,326,21,1199,118,High
ENCINITA ELEMENTARY,California,0633570,063357005178,–,116,169,–,5,–,327,37,Elementary
ENCINO CHARTER ELEMENTARY,California,0622710,062271002990,–,58,111,28,302,1,551,51,Elementary
ENCOMPASS ACADEMY ELEMENTARY,California,0628050,062805010686,–,8,234,61,11,4,329,11,Elementary
ENCORE JR./SR. HIGH SCH FOR THE PERF AND VISUAL ARTS,CALIFORNIA,0601523,060152312375,5,9,478,139,202,1,858,24,High
ENDEAVOR ALTERNATIVE,California,0608130,060813005472,0,1,70,2,12,0,87,2,Other
ENDEAVOR CHARTER,CALIFORNIA,0602538,060253814487,1,15,108,10,141,2,292,15,Other
ENDEAVOR COLLEGE PREPARATORY CHARTER,CALIFORNIA,0601883,060188312536,1,4,617,3,–,–,629,4,Elementary
ENDEAVOUR ELEMENTARY,California,0614700,061470004526,12,40,306,32,301,1,709,17,Elementary
ENDEAVOUR MIDDLE,California,0620880,062088010826,4,35,404,194,115,3,787,32,Middle
ENDEAVOUR SCHOOL OF EXPLORATION,California,0641040,064104011111,5,38,316,44,275,8,698,12,Elementary
ENDERS ELEMENTARY,California,0614880,061488001839,–,61,167,6,143,1,407,29,Elementary
ENGR AND TECH ACAD AT ESTEBAN E. TORRES HIGH #3,California,0622710,062271012819,1,5,357,–,–,–,363,–,High
ENRIQUE CAMARENA JR. HIGH,California,0606900,060690011595,–,–,680,2,1,–,683,–,Middle
ENSLEN ELEMENTARY,California,0625130,062513003730,2,2,138,9,171,–,362,40,Elementary
ENTERPRISE ALTERNATIVE,California,0609030,060903009760,0,5,41,1,26,0,75,2,Other
ENTERPRISE ELEMENTARY,CALIFORNIA,0611910,061191013759,1,15,369,198,49,3,658,23,Elementary
ENTERPRISE HIGH,California,0619490,061949008865,0,2,50,0,2,0,54,0,High
ENTERPRISE HIGH,California,0636600,063660006210,37,112,230,27,540,12,1048,90,High
ENTERPRISE MIDDLE,California,0609620,060962004608,–,–,169,85,–,1,259,4,Middle
ENTERPRISE SECONDARY,California,0691017,069101709021,0,0,0,0,0,0,0,0,High
ENTREPRENEUR HIGH,CALIFORNIA,0602326,060232614321,3,6,379,112,51,5,567,11,High
ENV ACAD OF RESEARCH TECH AND EARTH SCIS,California,0609640,060964012393,3,85,143,7,214,–,488,36,Elementary
ENVIRONMENTAL CHARTER HIGH,CALIFORNIA,0602076,060207608718,–,20,447,28,18,1,521,7,High
ENVIRONMENTAL CHARTER MIDDLE,CALIFORNIA,0601708,060170812673,–,5,282,46,5,4,346,4,Middle
ENVIRONMENTAL CHARTER MIDDLE - INGLEWOOD,CALIFORNIA,0601540,060154013591,1,1,298,52,–,3,358,3,Middle
ENVISION ACADEMY FOR ARTS & TECHNOLOGY,CALIFORNIA,0601614,060161410947,3,3,202,145,17,1,408,37,High
EPIC CHARTER,CALIFORNIA,0691051,069105113772,0,0,0,0,0,0,0,0,Middle
EPIC CHARTER (EXCELLENCE PERFORMANCE INNOVATION CITIZENSHIP),CALIFORNIA,0601519,060151914018,1,32,264,57,358,–,783,71,Other
EPIC DE CESAR CHAVEZ,CALIFORNIA,0601762,060176213819,0,10,634,14,23,1,687,5,High
EPIPHANY PREP CHARTER,CALIFORNIA,0601739,060173914029,–,5,683,6,11,1,706,–,Elementary
EQUITAS ACADEMY #2,CALIFORNIA,0602484,060248413145,–,4,399,1,4,–,408,–,Middle
EQUITAS ACADEMY #3 CHARTER,CALIFORNIA,0601944,060194413802,0,4,407,14,4,0,430,1,Elementary
EQUITAS ACADEMY 4,CALIFORNIA,0602128,060212813970,–,5,251,6,2,–,264,–,Middle
EQUITAS ACADEMY 5,CALIFORNIA,0602522,060252214430,0,2,103,3,1,0,110,1,Elementary
EQUITAS ACADEMY 6,CALIFORNIA,0602504,060250414441,0,3,148,2,3,0,160,4,Elementary
EQUITAS ACADEMY CHARTER,CALIFORNIA,0602425,060242512479,0,11,441,7,7,0,466,0,Elementary
ERIC BIRCH HIGH (CONTINUATION),California,0613920,061392001586,0,2,156,16,4,1,180,1,High
ERIC WHITE ELEMENTARY,California,0636270,063627006182,0,12,449,0,9,1,471,0,Elementary
ERICSON ELEMENTARY,California,0614550,061455001724,8,146,466,45,22,2,710,21,Elementary
ERICSON ELEMENTARY,California,0634320,063432005453,2,354,124,15,99,–,663,69,Elementary
ERLE STANLEY GARDNER MIDDLE,California,0600028,060002811187,17,138,359,42,412,6,1111,137,Middle
ERMA B. REESE ELEMENTARY,California,0622230,062223002646,–,29,204,3,325,1,599,37,Elementary
ERMA DUNCAN POLYTECHNICAL HIGH,California,0614550,061455008841,–,165,922,29,53,2,1178,7,High
ERNEST GARCIA ELEMENTARY,California,0632370,063237003848,1,12,541,18,14,3,593,4,Elementary
ERNEST KIMME CHARTER ACADEMY FOR INDEPENDENT LEARNING,CALIFORNIA,0640590,064059014015,2,5,135,28,113,6,313,24,High
ERNEST LAWRENCE MIDDLE,California,0622710,062271003128,1,344,709,63,165,3,1336,51,Middle
ERNEST O. LAWRENCE ELEMENTARY,California,0614880,061488001857,–,151,318,9,9,1,503,15,Elementary
ERNEST P. WILLENBERG SPECIAL EDUCATION CENTER,California,0622710,062271007766,2,17,125,32,14,3,196,3,High
ERNEST R. GEDDES ELEMENTARY,California,0603690,060369000331,–,25,481,4,1,–,512,1,Elementary
ERNEST RIGHETTI HIGH,California,0635670,063567006083,18,86,1706,36,544,5,2465,70,High
ERNEST S. MCBRIDE SR. HIGH,California,0622500,062250013105,2,99,383,54,176,4,753,35,High
ERNESTO GALARZA ELEMENTARY,California,0634590,063459010411,–,17,275,9,12,2,322,7,Elementary
ERNIE PYLE ELEMENTARY,California,0604440,060444000403,1,34,275,54,14,3,393,12,Elementary
ERWIN ELEMENTARY,California,0622710,062271002991,1,10,375,23,214,1,632,8,Elementary
ESCALON CHARTER ACADEMY,CALIFORNIA,0602104,060210413059,–,5,96,1,224,–,346,20,Other
ESCALON HIGH,California,0612840,061284001448,3,18,427,–,355,2,829,24,High
ESCALONA ELEMENTARY,California,0627690,062769004163,–,42,326,3,67,1,472,33,Elementary
ESCONDIDO CHARTER HIGH,CALIFORNIA,0602443,060244306493,3,68,470,20,324,2,928,41,High
ESCONDIDO ELEMENTARY,California,0629610,062961004584,–,69,157,14,180,2,467,45,Elementary
ESCONDIDO HIGH,California,0612910,061291001465,12,98,1691,37,239,3,2111,31,High
ESCUELA POPULAR ACCELERATED FAMILY LEARNING,CALIFORNIA,0601906,060190610666,–,–,349,–,–,–,349,–,Other
ESCUELA POPULAR/CENTER FOR TRAINING AND CAREERS FAMILY LRNG,CALIFORNIA,0602392,060239211449,–,–,414,–,–,–,414,–,High
ESENCIA,CALIFORNIA,0607440,060744014361,–,84,111,4,412,1,719,107,Elementary
ESENCIA MIDDLE,CALIFORNIA,0607440,060744014392,0,16,25,3,75,0,129,10,Middle
ESHELMAN AVENUE ELEMENTARY,California,0622710,062271002992,–,18,323,57,33,3,458,24,Elementary
ESPARTO ELEMENTARY,California,0612930,061293001469,7,6,319,12,68,–,420,8,Elementary
ESPARTO HIGH,California,0612930,061293001470,4,3,217,9,55,–,295,7,High
ESPARTO MIDDLE,California,0612930,061293004331,2,2,162,6,31,–,205,2,Middle
ESPERANZA EDUCATION CENTER,California,0633860,063386005297,0,9,28,1,40,1,84,5,High
ESPERANZA ELEMENTARY,California,0628050,062805004317,–,2,361,3,2,–,378,10,Elementary
ESPERANZA ELEMENTARY,California,0622710,062271000451,1,5,686,12,9,–,714,1,Elementary
ESPERANZA ELEMENTARY,California,0642120,064212011319,2,52,555,74,264,1,1012,64,Elementary
ESPERANZA HIGH,California,0610350,061035009776,0,0,25,0,3,0,28,0,Other
ESPERANZA HIGH,California,0630660,063066004758,5,190,558,17,661,–,1493,62,High
ESPERANZA HIGH (CONTINUATION),California,0600051,060005102015,–,–,28,–,21,–,51,2,High
ESPLANADE ELEMENTARY,California,0628650,062865004427,–,12,309,1,8,–,333,3,Elementary
ESTANCIA HIGH,California,0627240,062724004114,3,40,883,7,179,5,1131,14,High
ESTEBAN TORRES EAST LA PERFORMING ARTS MAGNET,California,0622710,062271012787,1,3,384,18,2,–,409,1,High
ESTHER L. WALTER,California,0623430,062343003565,2,53,443,4,23,10,537,2,Elementary
ESTHER LINDSTROM ELEMENTARY,California,0604440,060444000400,6,87,268,83,123,4,625,54,Elementary
ESTRELLA ELEMENTARY,California,0622710,062271012674,–,1,472,45,5,–,526,3,Elementary
ESTRELLITA CONTINUATION HIGH,California,0614820,061482001820,0,1,36,1,16,0,57,3,High
ESTUDILLO ELEMENTARY,California,0634440,063444011032,45,9,543,62,70,2,746,15,Elementary
ETHAN A CHASE MIDDLE,California,0633390,063339012127,5,40,943,78,214,4,1318,34,Middle
ETHAN B. ALLEN ELEMENTARY,California,0614880,061488001823,–,502,48,–,26,2,625,47,Elementary
ETHEL DWYER MIDDLE,California,0618030,061803002215,2,161,280,4,567,10,1142,118,Middle
ETHEL I. BAKER ELEMENTARY,California,0633840,063384005239,2,102,336,65,27,68,619,19,Elementary
ETHEL KUCERA MIDDLE,California,0632370,063237003852,6,18,811,100,49,4,1003,15,Middle
ETHEL M. EVANS ELEMENTARY,California,0614880,061488001840,1,160,270,4,15,–,458,8,Elementary
ETHEL PHILLIPS ELEMENTARY,California,0633840,063384005240,–,34,352,31,10,3,452,22,Elementary
ETIWANDA COLONY ELEMENTARY,California,0612960,061296011094,2,88,242,26,165,–,579,56,Elementary
ETIWANDA COMMUNITY DAY,California,0612960,061296012260,0,0,2,0,0,0,2,0,Middle
ETIWANDA HIGH,California,0608160,060816008807,10,440,1833,534,634,19,3636,166,High
ETIWANDA INTERMEDIATE,California,0612960,061296001471,3,208,577,147,262,10,1287,80,Middle
ETNA ELEMENTARY,California,0600159,060015901473,7,–,9,–,81,1,120,22,Elementary
ETNA UNION HIGH,California,0600159,060015901474,14,6,22,2,119,–,184,21,High
EUCALYPTUS,California,0616680,061668002093,9,31,628,116,17,9,820,10,Elementary
EUCALYPTUS ELEMENTARY,California,0600014,060001409076,–,4,543,60,47,1,671,16,Elementary
EUCALYPTUS HILLS ELEMENTARY,California,0620790,062079013731,–,2,36,5,44,–,93,6,Elementary
EUCLID AVENUE ELEMENTARY,California,0622710,062271002993,2,1,758,4,14,–,785,6,Elementary
EUCLID ELEMENTARY,California,0634320,063432005454,2,90,276,52,9,2,447,16,Elementary
EUCLID ELEMENTARY,California,0628470,062847004398,10,3,600,4,5,–,625,3,Elementary
EUGENE PADAN ELEMENTARY,California,0640590,064059006706,2,34,310,76,142,5,634,65,Elementary
EUNICE SATO ACADEMY OF MATH & SCIENCE,CALIFORNIA,0622500,062250013896,3,119,152,25,99,3,421,20,High
EUREKA COMMUNITY,California,0691009,069100910794,5,0,14,5,51,0,84,9,High
EUREKA SENIOR HIGH,California,0600052,060005201477,55,148,245,18,589,18,1171,98,High
EV CAIN MIDDLE,California,0603480,060348000265,9,16,215,14,208,2,596,132,Middle
EVANS RANCH ELEMENTARY,California,0624540,062454011716,2,32,284,51,223,6,645,47,Elementary
EVELYN CARR ELEMENTARY,California,0639420,063942006554,–,78,139,25,31,1,296,22,Elementary
EVELYN HANSHAW MIDDLE,California,0625130,062513010333,–,18,753,8,29,1,869,60,Middle
EVEREST PUBLIC HIGH,CALIFORNIA,0602229,060222912395,1,4,309,2,24,3,361,18,High
EVEREST VALUE,CALIFORNIA,0602085,060208513756,1,2,225,7,–,–,236,1,Elementary
EVERETT A. REA ELEMENTARY,California,0627240,062724007193,–,2,321,1,4,1,330,1,Elementary
EVERETT ALVAREZ HIGH,California,0633980,063398004694,1,62,2083,15,68,1,2245,15,High
EVERETT MIDDLE,California,0634410,063441007842,6,24,435,46,72,4,622,35,Middle
EVERGREEN AVENUE ELEMENTARY,California,0622710,062271002994,1,–,558,1,27,–,588,1,Elementary
EVERGREEN COMMUNITY DAY SCHOOL (5-8),California,0613170,061317007461,0,0,0,0,1,0,1,0,Middle
EVERGREEN COMMUNITY DAY SCHOOL (K-5),California,0613170,061317012160,0,0,1,0,2,0,3,0,Elementary
EVERGREEN CONTINUATION,California,0622710,062271002995,–,2,48,–,–,–,50,–,High
EVERGREEN ELEMENTARY,California,0641280,064128006838,–,462,111,9,33,1,643,27,Elementary
EVERGREEN ELEMENTARY,California,0643380,064338007024,26,13,81,3,223,–,408,62,Elementary
EVERGREEN ELEMENTARY,California,0611850,061185001313,1,1,399,1,5,–,418,11,Elementary
EVERGREEN ELEMENTARY,California,0613140,061314001492,2,532,55,5,28,3,659,34,Elementary
EVERGREEN ELEMENTARY,California,0613170,061317001500,11,7,90,–,392,1,530,29,Elementary
EVERGREEN ELEMENTARY,California,0603630,060363007098,3,3,562,47,47,1,673,10,Elementary
EVERGREEN ELEMENTARY,California,0609940,060994001077,4,22,142,11,263,1,492,49,Elementary
EVERGREEN ELEMENTARY,California,0641580,064158012499,0,0,0,0,0,0,0,0,Elementary
EVERGREEN HIGH,California,0600160,060016010254,2,–,5,–,35,–,43,1,High
EVERGREEN INSTITUTE OF EXCELLENCE,CALIFORNIA,0613170,061317013933,1,–,17,1,105,–,129,5,Other
EVERGREEN MIDDLE,California,0641580,064158012545,–,–,7,–,2,–,9,–,Middle
EVERGREEN MIDDLE,California,0613170,061317004183,11,8,65,3,310,–,420,23,Middle
EVERGREEN VALLEY HIGH,California,0611820,061182010665,2,2316,426,23,113,10,2998,108,High
EWING ELEMENTARY,California,0614550,061455001725,6,177,572,26,15,6,817,15,Elementary
EXCEL ACADEMY CHARTER,CALIFORNIA,0602500,060250014435,–,163,289,31,551,1,1187,152,Other
EXCEL ACADEMY CHARTER,CALIFORNIA,0602487,060248714407,1,75,221,12,132,3,517,73,Other
EXCELSIOR CHARTER,CALIFORNIA,0602313,060231305058,19,42,956,216,680,10,2041,118,High
EXCELSIOR CHARTER SCHOOL CORONA-NORCO,CALIFORNIA,0601966,060196614354,–,1,67,5,44,–,125,8,High
EXCELSIOR ELEMENTARY,California,0613080,061308008254,2,55,67,10,275,1,461,51,Middle
EXCELSIOR ELEMENTARY,California,0614880,061488001841,–,266,136,1,8,–,427,16,Elementary
EXCELSIOR MIDDLE,California,0606750,060675000595,12,19,132,41,267,7,505,27,Middle
EXETER COMMUNITY DAY,California,0601423,060142308662,0,0,3,0,2,0,5,0,Other
EXETER INDEPENDENT STUDY (ALTERNATIVE),California,0601423,060142307466,1,0,7,2,2,0,12,0,Other
EXETER UNION HIGH,California,0601423,060142301504,8,5,544,4,363,1,926,1,High
EXTERA PUBLIC,CALIFORNIA,0601804,060180412982,–,2,452,3,9,–,467,1,Elementary
EXTERA PUBLIC SCHOOL NO. 2,CALIFORNIA,0601795,060179513316,–,–,377,–,3,1,381,–,Elementary
EZEKIEL BALDERAS ELEMENTARY,California,0614550,061455010209,1,180,399,43,5,1,637,8,Elementary
EZEQUIEL TAFOYA ALVARADO ACADEMY,CALIFORNIA,0602153,060215310951,–,–,584,–,9,–,604,11,Elementary
F. D. ROOSEVELT ELEMENTARY,California,0621210,062121002541,–,14,367,120,15,3,530,11,Elementary
FAIR AVENUE ELEMENTARY,California,0622710,062271002996,1,8,629,9,28,–,678,3,Elementary
FAIR OAKS ELEMENTARY,California,0600062,060006204234,2,17,273,7,477,3,811,32,Elementary
FAIR OAKS ELEMENTARY,California,0626370,062637003946,–,60,131,20,43,5,303,44,Elementary
FAIR OAKS RANCH COMMUNITY,California,0638220,063822010536,4,177,420,78,206,–,948,63,Elementary
FAIR VIEW HIGH (CONTINUATION),California,0608370,060837000818,11,1,71,9,92,1,196,11,High
FAIRBANKS ELEMENTARY,California,0601332,060133201202,1,128,129,60,16,5,359,20,Elementary
FAIRBURN AVENUE ELEMENTARY,California,0622710,062271002997,1,86,44,6,254,–,436,45,Elementary
FAIRFAX ELEMENTARY,California,0634170,063417007277,2,5,297,31,13,–,360,12,Elementary
FAIRFAX JR. HIGH,California,0613290,061329011599,2,10,521,20,25,–,588,10,Middle
FAIRFAX SENIOR HIGH,California,0622710,062271002998,2,339,1095,268,126,1,1846,15,High
FAIRFIELD ELEMENTARY,California,0610620,061062005547,–,4,3,–,30,–,44,7,Elementary
FAIRFIELD HIGH,California,0613360,061336001516,10,193,802,293,206,33,1596,59,High
FAIRGROVE ACADEMY,California,0616325,061632507159,1,49,774,5,15,1,857,12,Elementary
FAIRGROVE ELEMENTARY,California,0623080,062308003525,3,12,231,1,116,1,390,26,Elementary
FAIRHAVEN ELEMENTARY,California,0628650,062865004428,1,7,424,2,8,2,450,6,Elementary
FAIRLANDS ELEMENTARY,California,0600020,060002009286,4,555,38,–,123,–,747,27,Elementary
FAIRLAWN ELEMENTARY,California,0605580,060558009316,2,4,741,–,1,–,748,–,Elementary
FAIRMEAD ELEMENTARY,California,0608520,060852000848,3,11,341,11,117,2,492,7,Middle
FAIRMEADOW ELEMENTARY,California,0629610,062961004585,–,148,39,3,127,3,360,40,Elementary
FAIRMONT CHARTER ELEMENTARY,California,0640590,064059006701,1,43,312,47,119,7,585,56,Elementary
FAIRMONT ELEMENTARY,California,0632550,063255005029,1,167,169,33,103,2,536,61,Elementary
FAIRMONT ELEMENTARY,California,0635250,063525005970,–,68,233,3,292,–,626,30,Elementary
FAIRMONT ELEMENTARY,California,0630660,063066004759,–,238,169,5,341,–,809,56,Elementary
FAIRVALLEY HIGH (CONTINUATION),California,0610050,061005001090,0,3,125,4,18,1,158,7,High
FAIRVIEW ELEMENTARY,California,0625130,062513003732,–,23,631,14,22,6,746,50,Elementary
FAIRVIEW ELEMENTARY,California,0600045,060004507091,5,11,321,2,114,–,454,1,Elementary
FAIRVIEW ELEMENTARY,California,0616050,061605002004,–,1,483,7,22,1,515,1,Elementary
FAIRVIEW ELEMENTARY,California,0616740,061674002113,–,57,291,95,28,17,537,49,Elementary
FAIRVIEW ELEMENTARY,California,0613360,061336001518,1,35,379,60,41,7,558,35,Elementary
FAIRVIEW MIDDLE,California,0600046,060004607184,1,1,486,1,6,–,497,2,Middle
FAIRWOOD ELEMENTARY,California,0638460,063846007433,1,154,89,7,93,7,392,41,Elementary
FAITH RINGGOLD SCHOOL OF ARTS AND SCIENCE,California,0616740,061674005622,–,7,98,17,7,–,134,5,Elementary
FALCON ACADEMY OF SCIENCE AND TECHNOLOGY,California,0605880,060588000533,1,143,180,9,128,–,481,20,Elementary
FALCON RIDGE ELEMENTARY,CALIFORNIA,0612960,061296014111,2,52,268,60,107,–,537,48,Elementary
FALL RIVER COMMUNITY DAY,California,0613470,061347008371,0,0,2,0,5,0,7,0,High
FALL RIVER ELEMENTARY,California,0613470,061347001535,13,–,95,–,162,–,289,19,Elementary
FALL RIVER ELEMENTARY COMMUNITY DAY,California,0613470,061347010418,0,0,0,0,0,0,0,0,Elementary
FALL RIVER JUNIOR-SENIOR HIGH,California,0613470,061347001536,6,–,85,–,152,2,258,13,High
FALLBROOK HIGH,California,0613530,061353001545,5,36,1337,26,490,6,1964,64,High
FALLBROOK HOMESCHOOL ACADEMY,California,0613500,061350007305,–,11,256,22,140,–,456,27,Elementary
FALLBROOK STEM ACADEMY,California,0613500,061350001539,–,1,448,3,64,–,520,4,Elementary
FALLER ELEMENTARY,California,0636800,063680006242,–,9,179,17,247,5,486,29,Elementary
FALLSVALE,California,0604230,060423000383,–,1,13,2,57,–,73,–,Elementary
FAMILY FIRST CHARTER,CALIFORNIA,0601605,060160513705,4,9,288,53,18,2,375,1,High
FAMILY PARTNERSHIP CHARTER,CALIFORNIA,0602378,060237811789,–,7,132,5,298,2,481,37,Other
FAMMATRE ELEMENTARY,California,0607140,060714000652,1,81,89,5,184,2,423,61,Elementary
FANCHER CREEK ELEMENTARY,California,0609030,060903009530,7,252,372,44,60,–,743,8,Elementary
FARALLONE VIEW ELEMENTARY,California,0606780,060678000598,–,2,42,–,139,–,200,17,Elementary
FARB MIDDLE,California,0634320,063432005456,3,28,181,55,142,3,454,42,Middle
FARJARDO - LA SEDA PRESCHOOL,California,0633750,063375013361,†,†,†,†,†,†,†,†,Not Reported
FARMDALE ELEMENTARY,California,0641880,064188012082,3,176,648,24,46,7,916,12,Elementary
FARMDALE ELEMENTARY,California,0622710,062271002999,2,12,341,–,10,–,369,4,Elementary
FARMERSVILLE HIGH,California,0600035,060003507903,1,5,677,2,18,–,716,13,High
FARMERSVILLE JUNIOR HIGH,California,0600035,060003501547,2,1,375,1,–,–,396,17,Middle
FARMINGTON ELEMENTARY,California,0612840,061284001449,–,3,89,–,13,–,107,2,Elementary
FARNHAM CHARTER,California,0607140,060714000653,–,89,82,16,145,–,378,46,Elementary
FARR AVENUE ELEMENTARY,California,0612880,061288011129,–,11,513,9,12,–,552,7,Elementary
FARRAGUT ELEMENTARY,California,0610260,061026001119,2,87,99,34,252,2,565,89,Elementary
FATHER KEITH B. KENNY,California,0633840,063384001089,3,44,162,65,17,2,304,11,Elementary
FAY ELEMENTARY,California,0634320,063432005484,1,66,287,100,21,2,516,39,Elementary
FAYLANE ELEMENTARY,California,0614880,061488001842,–,168,220,4,33,5,442,12,Elementary
FEASTER (MAE L.) CHARTER,CALIFORNIA,0602173,060217300858,2,30,1013,24,41,3,1122,9,Elementary
FEATHER RIVER ACADEMY,California,0691042,069104211997,1,2,27,1,17,–,49,1,High
FEATHER RIVER CHARTER,CALIFORNIA,0602400,060240014025,4,31,151,27,716,2,1023,92,Other
FEDDE (PHARIS F.) MIDDLE,California,0601620,060162000020,2,12,338,13,4,2,384,13,Middle
FEDERAL TERRACE ELEMENTARY,California,0640740,064074006725,1,61,136,110,14,2,333,9,Elementary
FEINSTEIN (DIANNE) ELEMENTARY,California,0634410,063441011772,–,184,57,7,165,–,489,76,Elementary
