,District Name,nces_id,Dissimilarity,State,Size
56,Desert Sands Unified,611110,0.3403615924618855,California,9086
224,SD U-46,1713710,0.3389410412428422,Illinois,12200
396,Salem-Keizer SD 24J,4110820,0.3377869367975064,Oregon,12858
278,Boston,2502790,0.33753513065150603,Massachusetts,16773
100,Perris Union High,630210,0.3369601456720242,California,10381
128,Sweetwater Union High,638640,0.3338962010109613,California,26586
438,BROWNSVILLE ISD,4811680,0.3329640030609093,Texas,12700
217,Township HSD 214,1704170,0.33284151014081825,Illinois,12073
115,San Francisco Unified,634410,0.3325768939434801,California,15697
307,ST. LOUIS CITY,2929280,0.3322124641385855,Missouri,5408
271,Frederick County Public Schools,2400330,0.32991479509666843,Maryland,14062
25,Tucson Unified District (4403),408800,0.32865636522427605,Arizona,13876
166,COLLIER,1200330,0.32811370147764296,Florida,14461
515,FAIRFAX CO PBLC SCHS,5101260,0.3277583326415494,Virginia,62556
333,NEW YORK CITY GEOGRAPHIC DISTRICT #15,3600092,0.32605971982860454,New York,7077
28,LITTLE ROCK SCHOOL DISTRICT,509000,0.32602617867581657,Arkansas,6185
341,NEW YORK CITY GEOGRAPHIC DISTRICT #19,3600120,0.3252712454336449,New York,5970
123,Santa Rosa High,635830,0.32505302853668283,California,7709
522,PRINCE WILLIAM CO PBLC SCHS,5103130,0.32453890011478354,Virginia,27839
204,Fulton County,1302280,0.3182744051496006,Georgia,28956
274,Montgomery County Public Schools,2400480,0.31786961972371675,Maryland,50614
153,St. Vrain Valley School District No. Re1J,805370,0.31606322253669494,Colorado,9957
228,Maine Township HSD 207,1724090,0.31578200137154167,Illinois,6335
510,Washington District,4901140,0.3149912715206964,UTAH,8195
0,Baldwin County,100270,0.3148459642171011,Alabama,9882
505,Granite District,4900360,0.3141393596078822,Utah,19850
390,TULSA,4030240,0.3122251617614036,Oklahoma,7943
379,South-Western City,3904480,0.31169927992884694,Ohio,6647
518,HENRICO CO PBLC SCHS,5101890,0.3109692161632268,Virginia,16198
137,William S. Hart Union High,642510,0.3087519811564501,California,15372
392,Beaverton SD 48J,4101920,0.3079990771882957,Oregon,13361
113,San Diego Unified,634320,0.3078300242690513,California,28554
406,Greenville 01,4502310,0.307471253966312,South Carolina,22269
399,Pittsburgh SD,4219170,0.30619459845645736,Pennsylvania,6781
380,Toledo City,3904490,0.30588595325281204,Ohio,6598
13,Chandler Unified District #80 (4242),401870,0.30568527460538186,Arizona,17748
251,Jefferson County,2102990,0.3052210602878822,Kentucky,29111
102,Pomona Unified,631320,0.3047726833467164,California,6973
342,NEW YORK CITY GEOGRAPHIC DISTRICT #25,3600122,0.30393222158977096,New York,10222
8,Tuscaloosa County,103390,0.3037901210157039,Alabama,5367
366,Charlotte-Mecklenburg Schools,3702970,0.30317141409174236,North Carolina,45880
71,Glendale Unified,615240,0.30238752152191706,California,7177
450,EDINBURG CISD,4818180,0.3015390568847437,Texas,10024
197,Cobb County,1301290,0.30126899314676026,Georgia,36361
92,Norwalk-La Mirada Unified,627690,0.30064247921390785,California,5192
420,Robertson County,4703600,0.30041183917142855,Tennessee,5794
42,Alvord Unified,602430,0.30016013817286025,California,5703
233,Township HSD 211,1730450,0.29836765756230355,Illinois,12121
503,Canyons District,4900142,0.2983253568596902,Utah,11142
338,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,0.29771680864346406,New York,9867
135,Vista Unified,641190,0.2973959229658387,California,6343
395,Portland SD 1J,4110040,0.2960321178569425,Oregon,13229
389,PUTNAM CITY,4025290,0.29587495783045437,Oklahoma,5133
421,Rutherford County,4703690,0.2958148595279881,Tennessee,17927
261,Ouachita Parish,2201200,0.295692777383612,Louisiana,5341
483,PASADENA ISD,4834320,0.29481631391232865,Texas,14476
360,Winston Salem / Forsyth County Schools,3701500,0.2933275302166552,North Carolina,16860
20,Phoenix Union High School District (4286),406330,0.29315141892066277,Arizona,27890
218,CHSD 218,1706540,0.2926955904111646,Illinois,5403
155,Connecticut Technical Education and Career System,900002,0.2926073967980967,Connecticut,11474
439,CARROLLTON-FARMERS BRANCH ISD,4813050,0.29218483456593525,Texas,7202
101,Placentia-Yorba Linda Unified,630660,0.2909294655354282,California,7797
314,WASHOE COUNTY SCHOOL DISTRICT,3200480,0.29030610357084213,Nevada,20271
545,Vancouver School District,5309270,0.2898112481784401,Washington,7192
402,Beaufort 01,4501110,0.2889678172419543,South Carolina,6649
384,Dublin City,3904702,0.2879981047145227,Ohio,5127
273,Howard County Public Schools,2400420,0.28774232314360754,Maryland,18273
355,Alamance-Burlington Schools,3700030,0.28735566588673933,North Carolina,6726
17,Mesa Unified District (4235),404970,0.28602598546647234,Arizona,18611
433,ALVIN ISD,4808090,0.2857327442993737,Texas,5608
