,District Name,nces_id,Dissimilarity,State,Size
138,Fremont Unified,614400,0.35896148004640094,California,10398
1145,UNITED ISD,4843650,0.35841963943229765,Texas,13170
706,ELKO COUNTY SCHOOL DISTRICT,3200120,0.3564851283444249,NEVADA,2845
749,ALBUQUERQUE PUBLIC SCHOOLS,3500060,0.3552314600325376,New Mexico,24800
1052,DALLAS ISD,4816230,0.3544043654967832,Texas,41816
758,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,0.3541426065250046,New York,34231
62,FORT SMITH SCHOOL DISTRICT,506330,0.35301490909965993,Arkansas,4343
136,Folsom-Cordova Unified,613890,0.3517273248072167,California,6586
215,Salinas Union High,633980,0.3513608542176534,California,12095
437,Leyden CHSD 212,1722740,0.35110283654302255,Illinois,3506
1022,AMARILLO ISD,4808130,0.34979262452570914,Texas,8509
1124,SOUTH TEXAS ISD,4837150,0.3486077888779451,Texas,3102
385,Gwinnett County,1302550,0.3485543553558047,Georgia,59111
552,Baltimore County Public Schools,2400120,0.34723816468545177,Maryland,33964
705,CLARK COUNTY SCHOOL DISTRICT,3200060,0.34573909905616634,NEVADA,104524
1093,LAMAR CISD,4826580,0.3446555998625179,Texas,10699
664,RANKIN CO SCHOOL DIST,2803830,0.34421122250069625,Mississippi,6276
538,Rapides Parish,2201290,0.34332077188539867,Louisiana,6129
359,Atlanta Public Schools,1300120,0.34259539514185705,Georgia,13759
430,DuPage HSD 88,1713940,0.3425141765285996,Illinois,3948
379,Floyd County,1302190,0.34248708330384314,Georgia,3380
1153,YSLETA ISD,4846680,0.3414082557619012,Texas,13070
152,Huntington Beach Union High,618060,0.34114580653975757,California,15082
1262,RALEIGH COUNTY SCHOOLS,5401230,0.3405864047456968,West Virginia,3203
126,Desert Sands Unified,611110,0.3403615924618855,California,9086
429,SD U-46,1713710,0.3389410412428422,Illinois,12200
594,Grand Rapids Public Schools,2616440,0.33847934705616123,Michigan,4730
915,Salem-Keizer SD 24J,4110820,0.3377869367975064,Oregon,12858
567,Boston,2502790,0.33753513065150603,Massachusetts,16773
200,Perris Union High,630210,0.3369601456720242,California,10381
245,Sweetwater Union High,638640,0.3338962010109613,California,26586
1033,BROWNSVILLE ISD,4811680,0.3329640030609093,Texas,12700
415,Township HSD 214,1704170,0.33284151014081825,Illinois,12073
220,San Francisco Unified,634410,0.3325768939434801,California,15697
163,Lompoc Unified,622410,0.33257188525711157,California,2962
688,ST. LOUIS CITY,2929280,0.3322124641385855,Missouri,5408
1000,Sevier County,4703780,0.33158225011205733,Tennessee,3485
623,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2705790,0.33104544525079965,Minnesota,3624
848,Pender County Schools,3703570,0.3307713132125675,North Carolina,3049
557,Frederick County Public Schools,2400330,0.32991479509666843,Maryland,14062
940,Cranston,4400240,0.32989674234203686,Rhode Island,3397
526,Avoyelles Parish,2200150,0.32963983992885726,Louisiana,2274
56,Tucson Unified District (4403),408800,0.32865636522427605,Arizona,13876
980,Bedford County,4700180,0.32850417056516634,Tennessee,2605
23,St Clair County,103062,0.3283928155404431,Alabama,2440
322,COLLIER,1200330,0.32811370147764296,Florida,14461
1177,FAIRFAX CO PBLC SCHS,5101260,0.3277583326415494,Virginia,62556
770,NEW YORK CITY GEOGRAPHIC DISTRICT #15,3600092,0.32605971982860454,New York,7077
63,LITTLE ROCK SCHOOL DISTRICT,509000,0.32602617867581657,Arkansas,6185
781,NEW YORK CITY GEOGRAPHIC DISTRICT #19,3600120,0.3252712454336449,New York,5970
237,Santa Rosa High,635830,0.32505302853668283,California,7709
402,Whitfield County,1305700,0.3246314318573772,Georgia,3904
1191,PRINCE WILLIAM CO PBLC SCHS,5103130,0.32453890011478354,Virginia,27839
460,Thornton Twp HSD 205,1738970,0.3211716401706697,ILLINOIS,4823
889,Great Oaks Career Campuses,3905106,0.3208581304087944,Ohio,2551
519,Pike County,2104800,0.31899124552327895,Kentucky,2529
756,SANTA FE PUBLIC SCHOOLS,3502370,0.31893238326595996,New Mexico,3841
381,Fulton County,1302280,0.3182744051496006,Georgia,28956
