,District Name,nces_id,Dissimilarity,State,Size
180,Morongo Unified,625860,0.13927576833578242,California,2192
181,Mountain View-Los Altos Union High,626310,0.03519223442326269,California,4514
182,Mt. Diablo Unified,626370,0.4315688491057466,California,7780
183,Napa Valley Unified,626640,0.27886126061341515,California,5902
184,Nevada Joint Union High,626880,0.05181097317586131,California,2481
185,New Haven Unified,626910,0.01837790572826469,California,3580
186,Newport-Mesa Unified,627240,0.4488092570031067,California,7615
187,Norwalk-La Mirada Unified,627690,0.42099322302895215,California,5192
188,Novato Unified,627720,0.14660599165718619,California,2635
189,Oakland Unified,628050,0.5160983494356123,California,10226
190,Oceanside Unified,628250,0.037605014907532555,California,5056
191,Orange Unified,628650,0.29260864395695857,California,8273
192,Oroville Union High,629130,0.13022085147721177,California,2427
193,Oxnard Union High,629270,0.5483636033170943,California,17361
194,Pajaro Valley Unified,629490,0.7061493059794574,California,5574
195,Palm Springs Unified,629550,0.1358472698995255,California,6769
196,Palo Alto Unified,629610,0.08533046654359444,California,3878
197,Palos Verdes Peninsula Unified,629700,0.20072791085826072,California,3795
198,Paramount Unified,629850,0.09517382854675016,California,4683
199,Pasadena Unified,629940,0.15954056588278587,California,5829
200,Perris Union High,630210,0.3396221956496982,California,10381
201,Petaluma Joint Union High,630250,0.1809480828744747,California,3215
202,Pittsburg Unified,630600,0.006126766333698342,California,3824
203,Placentia-Yorba Linda Unified,630660,0.3355975418971195,California,7797
204,Placer Union High,630750,0.13005674863248853,California,4128
205,Pomona Unified,631320,0.2758597422226652,California,6973
206,Poway Unified,631530,0.09893614739539346,California,11616
207,Redlands Unified,632070,0.09097218311877431,California,6563
208,Rialto Unified,632370,0.17390023610878225,California,7812
209,West Contra Costa Unified,632550,0.4439217267801722,California,7775
210,Riverside Unified,633150,0.2998046682102135,California,12599
211,Roseville Joint Union High,633630,0.12616924640425453,California,10571
212,Rowland Unified,633750,0.178752467429925,California,3827
213,Sacramento City Unified,633840,0.337574556313525,California,12403
214,Saddleback Valley Unified,633860,0.13128112931474595,California,8407
215,Salinas Union High,633980,0.5073179451837615,California,12095
216,San Benito High,634140,0.015069559111009913,California,3491
217,San Bernardino City Unified,634170,0.32895125917549956,California,13283
218,San Diego Unified,634320,0.4562836780617004,California,28554
219,San Dieguito Union High,634380,0.19055799310681165,California,8888
220,San Francisco Unified,634410,0.25952699872553814,California,15697
221,San Jacinto Unified,634440,0.018573320575132925,California,2831
222,San Jose Unified,634590,0.3306056344696231,California,8620
223,San Juan Unified,634620,0.2407188414477359,California,12644
224,San Leandro Unified,634680,0.027861187182444944,California,2856
225,San Lorenzo Unified,634710,0.13810396893874033,California,3137
226,San Luis Coastal Unified,634800,0.041884172856247126,California,2545
227,San Marcos Unified,634880,0.17726889584413966,California,6785
228,San Mateo Union High,634980,0.22835049178260622,California,9056
229,San Rafael City High,635110,0.1663071665404116,California,2608
230,San Ramon Valley Unified,635130,0.3935703541680544,California,10514
231,Sanger Unified,635250,0.004901846089052176,California,3641
232,Santa Ana Unified,635310,0.2498138004644726,California,14606
233,Santa Clara Unified,635430,0.09664242040902385,California,4164
234,Santa Cruz City High,635600,0.17375345395312122,California,3468
235,Santa Maria Joint Union High,635670,0.5295170179386466,California,9242
236,Santa Monica-Malibu Unified,635700,0.14454396188732438,California,3255
237,Santa Rosa High,635830,0.3212281155622043,California,7709
238,Sequoia Union High,636390,0.117864023265307,California,8633
239,Shasta Union High,636600,0.19774981020273838,California,4258
240,Simi Valley Unified,636840,0.05141299924534354,California,5249
241,Snowline Joint Unified,636970,0.021697401553330657,California,2260
242,Victor Valley Union High,636972,0.1705352940816938,California,10226
243,South San Francisco Unified,637530,0.10846290731935003,California,2644
244,Stockton Unified,638010,0.21491740844072452,California,11083
245,Sweetwater Union High,638640,0.2207866947947757,California,26586
246,Tamalpais Union High,638790,0.06627271766685029,California,5038
247,Torrance Unified,639420,0.18989773967594603,California,7647
249,Tustin Unified,640150,0.2589832522725993,California,8164
250,Vacaville Unified,640590,0.13316231612761584,California,4491
251,Vallejo City Unified,640740,0.08582898831168581,California,3118
252,Ventura Unified,640980,0.14150983496027905,California,5375
254,Vista Unified,641190,0.2692447793490021,California,6343
255,Walnut Valley Unified,641280,0.12006308382499883,California,4764
256,Washington Unified,641580,0.017308010911518637,California,2433
257,West Covina Unified,642000,0.06349934469200526,California,3192
258,Western Placer Unified,642140,0.0500505841631423,California,2355
259,Whittier Union High,642480,0.21972339032077193,California,10767
260,William S. Hart Union High,642510,0.21497424804840076,California,15372
261,Woodland Joint Unified,643080,0.022481702601767257,California,3034
262,Yuba City Unified,643470,0.10359649530152815,California,3751
263,Yucaipa-Calimesa Joint Unified,643560,0.02234688371636718,California,3079
264,Irvine Unified,684500,0.1635299519733408,California,10628
265,Val Verde Unified,691135,0.025661407093063218,California,6591
