District Name,nces_id,Dissimilarity,State,Size
Centinela Valley Union High,607920,0.21918307147294686,California,5884
Central Unified,607970,0.021944205851216092,California,4441
Central Union High,608010,0.19237226757966816,California,3829
Ceres Unified,608130,0.05995536057877321,California,4361
Chaffey Joint Union High,608160,0.34532399999464697,California,23468
Chico Unified,608370,0.13057593418700422,California,3887
Chino Valley Unified,608460,0.4215739445417025,California,9116
Clovis Unified,609030,0.2342683504809928,California,13097
Coachella Valley Unified,609070,0.11601836844948678,California,4942
Colton Joint Unified,609390,0.3186700767263427,California,6366
Conejo Valley Unified,609640,0.12448170646928412,California,6337
Corona-Norco Unified,609850,0.2742121627512812,California,17610
Cotati-Rohnert Park Unified,609940,0.21820502678796158,California,2005
Covina-Valley Unified,610050,0.15024163033012589,California,4187
Culver City Unified,610260,0.0,California,2228
Davis Joint Unified,610620,0.15393504424419552,California,2437
Delano Joint Union High,610860,0.09317320919801014,California,4110
Desert Sands Unified,611110,0.3755321707683649,California,9086
Downey Unified,611460,0.08830355070782084,California,8109
East Side Union High,611820,0.3961344998148683,California,21615
El Dorado Union High,612070,0.4090662856235612,California,6869
El Monte Union High,612120,0.43090400948350155,California,8090
El Rancho Unified,612180,0.08012759170653908,California,2533
Elk Grove Unified,612330,0.16795549585459554,California,20370
Escondido Union High,612910,0.10949511444516735,California,7158
Fairfield-Suisun Unified,613360,0.19534448769931095,California,6863
Fallbrook Union High,613530,0.049333991119881584,California,2059
Folsom-Cordova Unified,613890,0.22808640062082816,California,6586
Fontana Unified,613920,0.3434700077362869,California,12064
Fremont Unified,614400,0.36043266986736333,California,10398
Fremont Union High,614430,0.39037922180525386,California,10250
Fresno Unified,614550,0.21214750870816296,California,18263
Fullerton Joint Union High,614760,0.5796930059730317,California,13413
Galt Joint Union High,614820,0.2487279511533243,California,2199
Garden Grove Unified,614880,0.3927030043443881,California,13431
Gilroy Unified,615180,0.213574373673942,California,3927
Glendale Unified,615240,0.28576826625305574,California,7177
Glendora Unified,615270,0.023429124736314293,California,2385
Grossmont Union High,616230,0.11143821074877289,California,16880
Hacienda la Puente Unified,616325,0.5459190503937854,California,5167
Hanford Joint Union High,616500,0.24594479225953325,California,4128
Hayward Unified,616740,0.22075444572081276,California,5212
Hemet Unified,616920,0.3131940442509839,California,7978
Huntington Beach Union High,618060,0.4126511408946707,California,15082
Jefferson Union High,618930,0.2778013323004764,California,3920
Jurupa Unified,619260,0.19942314653712767,California,5993
Kern High,619540,0.4726282185677289,California,42521
South Monterey County Joint Union High,619650,0.3606304985337243,California,2748
Kings Canyon Joint Unified,619700,0.26874692129892763,California,2816
Las Virgenes Unified,621000,0.006039743844947543,California,3727
Liberty Union High,621600,0.2134318086103757,California,8275
Lincoln Unified,621690,0.03301132001333895,California,3200
Livermore Valley Joint Unified,622110,0.02232987285013998,California,4214
Lodi Unified,622230,0.42393209032079565,California,8673
Lompoc Unified,622410,0.1070989297450113,California,2962
Long Beach Unified,622500,0.25890184275115147,California,21819
Los Angeles Unified,622710,0.4797906438884471,California,117394
Los Banos Unified,622740,0.057348434269902465,California,3479
Los Gatos-Saratoga Union High,622800,0.4675087108013938,California,3375
Lucia Mar Unified,623080,0.10528920507268791,California,3338
Lynwood Unified,623160,0.21415754202219212,California,3908
Madera Unified,623340,0.18205089969181829,California,5832
Manteca Unified,623610,0.2471231358106906,California,8094
Marysville Joint Unified,624090,0.28640495963357926,California,2766
Milpitas Unified,624500,0.07811038353601497,California,3207
Merced Union High,624660,0.17407717857147925,California,11177
Modesto City High,625150,0.2151509716980125,California,15311
Montebello Unified,625470,0.4989193694544996,California,7697
Monterey Peninsula Unified,625530,0.15217360730208293,California,3223
Moreno Valley Unified,625800,0.17197280649214908,California,9749
Morgan Hill Unified,625830,0.3385280775533839,California,2839
Morongo Unified,625860,0.1527117031398668,California,2192
Mountain View-Los Altos Union High,626310,0.0418309640669889,California,4514
Mt. Diablo Unified,626370,0.1824454001490685,California,7780
Napa Valley Unified,626640,0.6613609604239767,California,5902
Nevada Joint Union High,626880,0.09606518464417765,California,2344
New Haven Unified,626910,0.05292464647208358,California,3580
Newport-Mesa Unified,627240,0.24347546098362688,California,7615
Norwalk-La Mirada Unified,627690,0.24775142994519156,California,5192
Novato Unified,627720,0.06010452961672475,California,2635
Oakland Unified,628050,0.3951977034919246,California,10226
Oceanside Unified,628250,0.24600687465343563,California,5056
Orange Unified,628650,0.2972651130278482,California,8273
Oroville Union High,629130,0.3189033189033189,California,2427
Oxnard Union High,629270,0.25743767467228906,California,17361
Pajaro Valley Unified,629490,0.29914903963044004,California,5574
Palm Springs Unified,629550,0.2725922827564572,California,6769
Palo Alto Unified,629610,0.10676202012878352,California,3878
Palos Verdes Peninsula Unified,629700,0.2556521739130435,California,3795
Paramount Unified,629850,0.019777470468388757,CALIFORNIA,4449
Pasadena Unified,629940,0.1366810152057245,California,5829
Perris Union High,630210,0.33189421690733345,California,10381
Petaluma Joint Union High,630250,0.22337307015829588,California,3215
