District Name,nces_id,Dissimilarity,State,Size
San Francisco Unified,634410,0.3986854767355379,California,15697
San Jose Unified,634590,0.5454691419208674,California,8620
San Juan Unified,634620,0.36736156013113735,California,12554
San Marcos Unified,634880,0.06470292943889569,California,6785
San Mateo Union High,634980,0.26932577399637914,California,9056
San Ramon Valley Unified,635130,0.39819608671377626,California,10514
Santa Ana Unified,635310,0.3301360977309037,California,14606
Santa Maria Joint Union High,635670,0.23200879120879125,California,9242
Santa Rosa High,635830,0.24856834219361992,California,7709
Sequoia Union High,636390,0.549806776117121,California,8633
Simi Valley Unified,636840,0.24484228532801752,California,5249
Victor Valley Union High,636972,0.3541728488791087,California,10109
Stockton Unified,638010,0.34445544078888946,California,11083
Sweetwater Union High,638640,0.4105694046331493,California,26586
Tamalpais Union High,638790,0.12980487347264238,California,5038
Torrance Unified,639420,0.23200908723150862,California,7647
Tulare Joint Union High,639930,0.15916828986333476,CALIFORNIA,5764
Tustin Unified,640150,0.5829238657132616,California,8164
Ventura Unified,640980,0.25255940781082264,California,5176
Visalia Unified,641160,0.09564247195189984,CALIFORNIA,9332
Vista Unified,641190,0.4160778609032973,California,6343
Whittier Union High,642480,0.23825796239589342,California,10767
William S. Hart Union High,642510,0.4188986442714425,California,15372
Irvine Unified,684500,0.1804370844298739,California,10628
Val Verde Unified,691135,0.2636562302230178,California,6591
Academy School District No. 20 in the county of El Paso an,801920,0.15940280034037285,Colorado,8940
Aurora Joint District No. 28 of the counties of Adams and A,802340,0.15727800069128234,Colorado,10453
Boulder Valley School District No. Re2,802490,0.39737347325771766,Colorado,9694
School District 27J,802580,0.3585583168082668,Colorado,5662
Cherry Creek School District No. 5 in the county of Arapah,802910,0.3086457818344842,Colorado,17843
Colorado Springs School District No. 11 in the county of E,803060,0.32438807707624906,Colorado,7265
School District No. 1 in the county of Denver and State of C,803360,0.38837075808409055,COLORADO,27183
Douglas County School District No. Re 1,803450,0.40006411118433577,Colorado,20175
El Paso County Colorado School District 49,803870,0.5794687035976782,Colorado,9871
Poudre School District R-1,803990,0.38999184242124263,COLORADO,8744
Mesa County Valley School District No. 51,804350,0.36388840954846124,Colorado,5885
GreeleySchool District No. 6 in the county of Weld and Sta,804410,0.14817813765182186,COLORADO,5776
Jefferson County School District No. R-1,804800,0.3319288774803726,Colorado,24907
St. Vrain Valley School District No. Re1J,805370,0.47639947002318644,Colorado,9957
Adams 12 Five Star Schools,806900,0.3383368438324741,Colorado,10382
Connecticut Technical Education and Career System,900002,0.2860401846205962,Connecticut,10974
Bridgeport School District,900450,0.395869868554644,Connecticut,5100
Hartford School District,901920,0.3251582540682067,Connecticut,5154
New Haven School District,902790,0.2751779916409195,Connecticut,5515
District of Columbia Public Schools,1100030,0.538568161002297,District of Columbia,10395
ALACHUA,1200030,0.3244783861671471,Florida,8733
BAY,1200090,0.19677729100402086,Florida,7544
BREVARD,1200150,0.37770759500926054,Florida,23966
BROWARD,1200180,0.24055116049529202,FLORIDA,84723
CHARLOTTE,1200240,0.19559386973180076,Florida,5366
CLAY,1200300,0.24451482309143135,FLORIDA,12816
COLLIER,1200330,0.47869741500081947,Florida,14461
MIAMI-DADE,1200390,0.38356609758168786,FLORIDA,106745
DUVAL,1200480,0.3669905784241585,Florida,36005
ESCAMBIA,1200510,0.23301808595926243,Florida,10999
HERNANDO,1200810,0.1344287566128298,Florida,7124
HILLSBOROUGH,1200870,0.39288827109099655,Florida,63330
INDIAN RIVER,1200930,0.18153431931641828,Florida,5531
LAKE,1201050,0.17264824527159678,Florida,13490
LEE,1201080,0.33015309191502623,FLORIDA,29807
LEON,1201110,0.3523145683612811,Florida,9464
MANATEE,1201230,0.4019594716987075,Florida,15601
MARION,1201260,0.26532947904733467,Florida,12934
MARTIN,1201290,0.11863998303352806,Florida,6000
OKALOOSA,1201380,0.11941495369324598,Florida,8445
ORANGE,1201440,0.27014416960626125,Florida,64431
OSCEOLA,1201470,0.15232130936325386,Florida,23773
PALM BEACH,1201500,0.37749922305212885,Florida,60673
PASCO,1201530,0.27677500321447435,Florida,24513
PINELLAS,1201560,0.2855320855158765,Florida,29347
POLK,1201590,0.3523348698458346,Florida,33885
SANTA ROSA,1201650,0.20171890798786654,Florida,9134
SARASOTA,1201680,0.26819125345538125,Florida,13360
SEMINOLE,1201710,0.2499824045141522,Florida,21130
ST. JOHNS,1201740,0.22324100688666276,Florida,15192
ST. LUCIE,1201770,0.21060025542784166,FLORIDA,15791
VOLUSIA,1201920,0.488920030638586,Florida,19434
Atlanta Public Schools,1300120,0.4076862745098039,Georgia,13759
Bibb County,1300420,0.4212462462462462,Georgia,5336
Savannah-Chatham County,1301020,0.3886453789959256,Georgia,9261
Cherokee County,1301110,0.2535780998389694,Georgia,13769
Clayton County,1301230,0.3075359655383894,Georgia,16654
Cobb County,1301290,0.4896580826866276,Georgia,36361
Columbia County,1301410,0.33135370884335374,Georgia,8927
Coweta County,1301500,0.1302624069554236,Georgia,7331
DeKalb County,1301740,0.48066100467443557,Georgia,27297
Douglas County,1301860,0.33428692519601616,Georgia,8766
Fayette County,1302130,0.20941176470588238,Georgia,6895
Forsyth County,1302220,0.5233374638579099,GEORGIA,16833
Fulton County,1302280,0.6283987579006644,Georgia,28956
Gwinnett County,1302550,0.4286314896761677,Georgia,59111
Hall County,1302610,0.26256586084709177,GEORGIA,8790
Henry County,1302820,0.3440103795042651,Georgia,15133
Houston County,1302880,0.3066419077588936,Georgia,9073
Muscogee County,1303870,0.4784570904731683,Georgia,8918
Newton County,1303930,0.12935174069627853,Georgia,6055
Paulding County,1304020,0.17145657576924425,Georgia,10041
Richmond County,1304380,0.40669856459330145,Georgia,8965
Rockdale County,1304410,0.18347128773577295,Georgia,5299
Hawaii Department of Education,1500030,0.33417899810372287,Hawaii,51229
BOISE INDEPENDENT DISTRICT,1600360,0.2936271622712301,Idaho,6107
JOINT SCHOOL DISTRICT NO. 2,1602100,0.25971082939763035,Idaho,13176
Township HSD 214,1704170,0.28442767708889505,Illinois,12073
CHSD 218,1706540,0.3608857017047242,Illinois,5403
Bremen CHSD 228,1707050,0.477763923524522,Illinois,5198
Cons HSD 230,1708400,0.1725,Illinois,7787
CUSD 300,1708550,0.47267826513109534,Illinois,6569
City of Chicago SD 299,1709930,0.599930423043097,Illinois,85956
CHSD 155,1711370,0.15679012345679014,Illinois,5598
SD U-46,1713710,0.40929843500004126,Illinois,12200
Glenbard Twp HSD 87,1716830,0.1394662107846063,Illinois,7914
Joliet Twp HSD 204,1720610,0.42874527244712146,Illinois,6958
Lincoln Way CHSD 210,1723070,0.312286742353744,Illinois,6665
Maine Township HSD 207,1724090,0.3550004711005957,Illinois,6335
J S Morton HSD 201,1726880,0.39632316581655114,Illinois,6979
Naperville CUSD 203,1727710,0.022849364527071314,Illinois,5271
Northfield Twp HSD 225,1729010,0.1782461127871896,Illinois,5132
CUSD 308,1730270,0.40081896225265656,Illinois,5820
Township HSD 211,1730450,0.3793139595734361,Illinois,12121
Plainfield SD 202,1731740,0.3163544415127528,Illinois,8982
Rockford SD 205,1734510,0.2915256677946576,Illinois,8025
Valley View CUSD 365U,1740070,0.10195301539795773,Illinois,5337
Indian Prairie CUSD 204,1741690,0.19490053683602065,Illinois,8839
Evansville Vanderburgh School Corp,1803450,0.4603456790123457,Indiana,6206
Fort Wayne Community Schools,1803630,0.13740626920712967,Indiana,8229
Indianapolis Public Schools,1804770,0.15818010372465818,Indiana,5424
MSD Lawrence Township,1805670,0.05879711356808823,Indiana,5099
Hamilton Southeastern Schools,1810650,0.10080435513961528,Indiana,7041
Des Moines Independent Comm School District,1908970,0.19796572914305754,Iowa,9832
Kansas City,2007950,0.3103646200224374,KANSAS,6252
Olathe,2010140,0.2079173862474888,Kansas,9452
Shawnee Mission Pub Sch,2011640,0.1824527239453803,Kansas,8005
Blue Valley,2012000,0.1399273791996824,Kansas,7312
Wichita,2012990,0.4772994825705769,Kansas,12949
Boone County,2100510,0.2541005980297278,KENTUCKY,6447
Fayette County,2101860,0.28128119800332785,Kentucky,12809
Jefferson County,2102990,0.38009701542492663,Kentucky,29111
Warren County,2105730,0.2927725338522532,KENTUCKY,5263
Ascension Parish,2200090,0.42061141228413346,Louisiana,6760
Bossier Parish,2200270,0.3704301075268817,Louisiana,6450
Caddo Parish,2200300,0.5451851851851852,Louisiana,9190
Calcasieu Parish,2200330,0.35286243011260726,Louisiana,8382
East Baton Rouge Parish,2200540,0.5436803829513027,Louisiana,8312
Jefferson Parish,2200840,0.5507230401805632,Louisiana,13629
Lafayette Parish,2200870,0.3529408878837087,Louisiana,9437
Livingston Parish,2201020,0.19678714859437751,Louisiana,7129
Ouachita Parish,2201200,0.18024907144417743,Louisiana,5341
Rapides Parish,2201290,0.24397873005943072,Louisiana,5912
St. Tammany Parish,2201650,0.24859509020999704,Louisiana,11270
Anne Arundel County Public Schools,2400060,0.2844990543368771,Maryland,23435
Baltimore City Public Schools,2400090,0.5416012718170748,Maryland,19544
Baltimore County Public Schools,2400120,0.4946392107947279,Maryland,33889
Calvert County Public Schools,2400150,0.16135229684005278,Maryland,5061
Carroll County Public Schools,2400210,0.2513788687570528,Maryland,7979
Charles County Public Schools,2400270,0.22654968618635585,Maryland,8989
Frederick County Public Schools,2400330,0.35421165593528153,Maryland,14033
Harford County Public Schools,2400390,0.2721705070474813,Maryland,11272
Howard County Public Schools,2400420,0.46297091468076046,Maryland,18273
Montgomery County Public Schools,2400480,0.40098548254821165,Maryland,50614
Prince George's County Public Schools,2400510,0.4101677846621264,Maryland,36985
St. Mary's County Public Schools,2400600,0.12544597349643224,Maryland,5392
Washington County Public Schools,2400660,0.2164982847527941,Maryland,6433
Boston,2502790,0.6194874729579468,Massachusetts,16219
Springfield,2511130,0.21130602652341784,MASSACHUSETTS,7592
Worcester,2513230,0.19074393011173102,Massachusetts,7575
Detroit Public Schools Community District,2601103,0.8284833968287203,MICHIGAN,14160
Ann Arbor Public Schools,2602820,0.11228725184746503,Michigan,5548
Chippewa Valley Schools,2609570,0.33531449818314973,Michigan,5709
Dearborn City School District,2611600,0.21925133689839577,Michigan,6698
Plymouth-Canton Community Schools,2628560,0.02249957199109742,Michigan,6031
Rochester Community School District,2629940,0.1963359452599051,Michigan,8092
Utica Community Schools,2634470,0.19954988747186797,Michigan,7170
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,0.1606616376485169,Minnesota,13237
Minneapolis Public School District,2721240,0.4155261225332494,Minnesota,9456
